1,11,1,2017-07-22,0
2,9,3,2017-07-28,0
3,4,4,2017-07-22,1
4,4,1,2017-07-21,0
5,1,5,2017-07-23,1
6,12,5,2017-07-27,1
7,10,2,2017-07-22,1
8,1,3,2017-07-21,1
9,4,6,2017-07-17,0
10,10,1,2017-07-25,1
11,7,1,2017-08-02,0
12,12,4,2017-07-18,1
13,1,3,2017-07-26,0
14,1,1,2017-08-03,1
15,4,5,2017-08-05,0
16,6,4,2017-07-28,0
17,11,6,2017-07-26,1
18,4,6,2017-08-01,1
19,8,4,2017-07-30,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
